"id","code","name"
"unique_report_table_15_1","1","Empregador Indivíduo que exerce uma atividade independente isolado ou com um ou vários associados obtendo uma remuneração que está diretamente dependente dos lucros (realizados ou potenciais) provenientes de bens ou serviços produzidos e que a esse título emprega habitualmente um ou vários trabalhadores por conta de outrem para trabalharem na sua empresa. (por exemplo o proprietário/sócio-gerente)."
"unique_report_table_15_2","2","Trabalhador Familiar não Remunerado Indivíduo que exerce uma actividade independente numa empresa orientada para o mercado e explorada por um familiar não sendo contudo seu associado nem estando vinculado por um contrato de trabalho."
"unique_report_table_15_3","3","Trabalhador por Conta de Outrem Indivíduo que com base em contrato de trabalho e mediante retribuição presta a sua actividade a outra ou outras pessoas no âmbito de organização e sob a autoridade destas."
"unique_report_table_15_4","4","Membro Ativo de Cooperativa de Produção Indivíduo que exerce uma atividade independente e que a esse título pertence a uma cooperativa produtora de bens e/ou serviços na qual cada membro toma parte em pé de igualdade na organização da produção e em outras atividades da cooperativa decidindo sobre os investimentos a efetuar e sobre a repartição dos lucros entre os seus membros."
"unique_report_table_15_5","8","Outra Situação Por exemplo, inclua os estagiários sem vínculo à entidade, a trabalhar temporariamente nesta:
- Ao abrigo de programas de estágio regulamentados (ex: Portaria de estágios profissionais, com lei de enquadramento respetivo, etc.),
- Outros estagiários (ex: Por acordo direto, etc.),"
