"id","code","name"
"unique_report_table_19_1","1","Filiação Quando a convenção coletiva ou decisão arbitral em causa é aplicável por o trabalhador ser representado por associação sindical vinculada ao referido instrumento e sendo caso disso o empregador ser representado por associação de empregadores igualmente vinculada ao mesmo instrumento."
"unique_report_table_19_2","2","Portaria de Extensão Quando a convenção coletiva ou decisão arbitral são estendidas mediante portaria a empregadores do mesmo sector e a trabalhadores da mesma profissão até então não abrangidos pela convenção por filiação ou escolha."
"unique_report_table_19_3","3","Escolha Quando a convenção coletiva ou decisão arbitral em causa aplicável no âmbito da empresa é aplicável a trabalhador não sindicalizado mediante escolha deste."
"unique_report_table_19_4","4","Ato de Gestão"
"unique_report_table_19_5","6","Sem aplicabilidade Não existe instrumento de regulamentação coletiva de trabalho aplicável."
"unique_report_table_19_6","7","Automática Quando o IRCT for uma PRT - Portaria de Regulamentação de Trabalho / PCT - Portaria de Condições de Trabalho."
