"id","code","name"
"unique_report_table_35_1","01","Diploma de qualificação"
"unique_report_table_35_2","02","Certificado de qualificação "
"unique_report_table_35_3","03","Certificado de formação profissional certificada "
"unique_report_table_35_4","04","Certificado de formação profissional não certificada "
"unique_report_table_35_5","05","Sem certificado por reprovação"
"unique_report_table_35_6","06","Certificado de frequência"
"unique_report_table_35_7","07","Diploma de ensino superior"
"unique_report_table_35_8","08","Não aplicável "
"unique_report_table_35_9","99","Desconhecido"
