"id","code","name"
"unique_report_table_21_1","1","Quadros superiores"
"unique_report_table_21_2","2","Quadros médios"
"unique_report_table_21_3","3","Encarregados contramestres mestres e chefes de equipa"
"unique_report_table_21_4","4","Profissionais altamente qualificados"
"unique_report_table_21_5","5","Profissionais qualificados"
"unique_report_table_21_6","6","Profissionais semi-qualificados (especializados)"
"unique_report_table_21_7","7","Profissionais não qualificados (indiferenciados)"
"unique_report_table_21_8","8","Estagiários praticantes e aprendizes"
