"id","code","name"
"unique_report_table_24_1","1","Horário de trabalho fixo O que determina as horas de início e termo do período normal de trabalho diário dos intervalos de descanso e o descanso semanal sem possibilidade de alteração por parte do trabalhador."
"unique_report_table_24_2","2","Horário de trabalho flexível Aquele em que o trabalhador pode escolher as horas de início e termo do período normal de trabalho diário dentro de determinados limites e tendo em conta o seu interesse."
"unique_report_table_24_3","3","Horário de trabalho móvel Aquele em que o início e o termo do período normal de trabalho diário são determinados dentro de determinados limites tendo em conta a necessidade da empresa."
"unique_report_table_24_4","4","Horário de trabalho por turnos fixos Aquele em que os horários de cada equipa de trabalhadores não se alteram."
"unique_report_table_24_5","5","Horário de trabalho por turnos rotativos Aquele em que os horários de cada equipa de trabalhadores se alteram ocupando cada equipa sucessivamente os diversos horários."
