"id","code","name"
"unique_report_table_31_1","01","Cursos profissionais"
"unique_report_table_31_2","02","Cursos de aprendizagem"
"unique_report_table_31_3","03","Cursos de educação e formação para jovens"
"unique_report_table_31_4","04","Cursos de educação e formação para adultos"
"unique_report_table_31_5","05","Cursos de especialização tecnológica"
"unique_report_table_31_6","06","Outras formações modulares inseridas no Catálogo Nacional de Qualificações, no quadro da formação continua"
"unique_report_table_31_7","07","Formação – Ação"
"unique_report_table_31_8","08","Outras ações de formação contínua não inseridas no Catálogo Nacional de Qualificações"
"unique_report_table_31_9","99","Desconhecida"
