"id","code","name"
"bank_ident_0278","0278","GRENKE BANK AG - SUCURSAL EM PORTUGAL"
"bank_ident_0280","0280","EFG BANK (LUXEMBOURG) S.A. - SUCURSAL EM PORTUGAL"
"bank_ident_0500","0500","ING BANK N.V. - SUCURSAL EM PORTUGAL"
"bank_ident_0741","0741","INTERBOLSA - SOCIEDADE GESTORA DE SISTEMAS DE LIQUIDACAO E DE SISTEMAS CENTRALIZADOS DE VALORES MOBILIARIOS, SA"
"bank_ident_0771","0771","CRÉDIT AGRICOLE LEASING & FACTORING, S.A. - SUCURSAL EM PORTUGAL"
"bank_ident_0780","0780","FCA BANK S.P.A. - SUCURSAL EM PORTUGAL"
"bank_ident_0781","0781","INSTITUTO DE GESTÃO DA TESOURARIA E DO CRÉDITO PÚBLICO, I.P."
"bank_ident_0848","0848","BANCO BNP PARIBAS PERSONAL FINANCE, SA"
"bank_ident_0881","0881","ONEY BANK - SUCURSAL EM PORTUGAL"
"bank_ident_0916","0916","BANCO CREDIBOM, SA"
"bank_ident_0921","0921","COFIDIS"
"bank_ident_5180","5180","CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DE LEIRIA, CRL"
"bank_ident_5200","5200","CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DE MAFRA, CRL"
"bank_ident_5340","5340","CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DE TORRES VEDRAS, CRL"
"bank_ident_9000","9000","CAIXA CENTRAL - CAIXA CENTRAL DE CRÉDITO AGRÍCOLA MÚTUO, CRL"
