"id","code","name"
"statistical_class_D3040","D3040","Construção permanente no exterior"
"statistical_class_D4010","D4010","Aluguer de equipamentos de transporte sem tripulação/operador"
"statistical_class_D4090","D4090","Outros serviços de aluguer"
"statistical_class_D5010","D5010","Serviços agrícolas"
"statistical_class_D5020","D5020","Serviços mineiros"
"statistical_class_D5030","D5030","Serviços industriais"
"statistical_class_D5040","D5040","Serviços de tratamento de resíduos e despoluição"
"statistical_class_D5090","D5090","Outros serviços agrícolas, mineiros, industriais e ambientais"
"statistical_class_D6010","D6010","Serviços de investigação e desenvolvimento"
"statistical_class_D6020","D6020","Aquisição/venda de direitos de investigação e desenvolvimento"
"statistical_class_D6090","D6090","Outros serviços de investigação e desenvolvimento"
"statistical_class_D7010","D7010","Serviços jurídicos"
"statistical_class_D7020","D7020","Serviços de contabilidade e auditoria"
"statistical_class_D7030","D7030","Serviços de consultadoria em gestão"
"statistical_class_D7040","D7040","Serviços de arquitetura"
"statistical_class_D7050","D7050","Serviços de engenharia"
"statistical_class_D7060","D7060","Serviços de análise técnica"
"statistical_class_D7070","D7070","Serviços associados a projetos chave na mão"
"statistical_class_D7080","D7080","Serviços de Intermediação comercial"
"statistical_class_D7090","D7090","Serviços de publicidade"
"statistical_class_D7110","D7110","Serviços de estudos de mercado e sondagens de opinião"
"statistical_class_D7120","D7120","Serviços de relações públicas"
"statistical_class_D7130","D7130","Serviços de manutenção e reparação"
"statistical_class_D7140","D7140","Serviços entre empresas afiliadas (não especificados)"
"statistical_class_D7190","D7190","Outros serviços fornecidos por empresas"
"statistical_class_D8010","D8010","Serviços audiovisuais e conexos"
"statistical_class_D8020","D8020","Serviços culturais, recreativos e desportivos"
"statistical_class_D8030","D8030","Serviços de educação"
"statistical_class_D8040","D8040","Serviços de saúde"
"statistical_class_D8090","D8090","Outros serviços de natureza pessoal"
"statistical_class_D9010","D9010","Operações de embaixadas e consulados n.i.n.r."
"statistical_class_D9020","D9020","Operações de unidades e estabelecimentos militares n.i.n.r."
"statistical_class_D9030","D9030","Operações da Administração Central n.i.n.r."
"statistical_class_E1010","E1010","Direitos resultantes de franchising, marketing e investigação e desenvolvimento"
"statistical_class_E1020","E1020","Direitos de reprodução e/ou distribuição de software"
"statistical_class_E1030","E1030","Direitos de reprodução e/ou distribuição de audiovisuais"
"statistical_class_E1040","E1040","Direitos de utilização temporários de recursos naturais"
"statistical_class_E1090","E1090","Outros direitos de utilização de propriedade intelectual n.i.n.r."
"statistical_class_E2010","E2010","Aquisição/venda de ativos intangíveis"
"statistical_class_E2020","E2020","Aquisição/venda de terrenos por embaixadas, consulados, bases militares e organismos internacionais"
"statistical_class_F1010","F1010","Fundo Social Europeu (FSE)/Fundo de auxílio europeu às pessoas mais carenciadas (FEAC)"
"statistical_class_F1020","F1020","Fundo Europeu de Desenvolvimento Regional (FEDER)"
"statistical_class_F1030","F1030","Fundo Europeu Agrícola de Desenvolvimento Rural (FEADER) / FEOGA – Orientação"
"statistical_class_F1040","F1040","Fundo Europeu Agrícola de Garantia (FEAGA) / FEOGA – Garantia"
"statistical_class_F1050","F1050","Fundo de Coesão (FC)"
"statistical_class_F1060","F1060","Fundo Europeu das Pescas (FEP) / IFOP / FEAMP / FEAMPA"
"statistical_class_F1070","F1070","Direitos Aduaneiros e Niveladores Agrícolas"
"statistical_class_F1080","F1080","Contribuição Financeira para o orçamento da União Europeia"
"statistical_class_F1090","F1090","Reembolsos de fundos comunitários não utilizados"
"statistical_class_F1210","F1210","Plano de recuperação e resiliência"
"statistical_class_F1310","F1310","Assistência de Recuperação para a Coesão e os Territórios da Europa (REACT-EU)"
"statistical_class_F1410","F1410","Fundo para uma Transição Justa (FTJ)"
"statistical_class_F1990","F1990","Outros recebimentos e pagamentos com a União Europeia"
"statistical_class_F2010","F2010","Impostos sobre o rendimento e a riqueza"
"statistical_class_F2020","F2020","Impostos sobre produtos"
"statistical_class_F2030","F2030","Impostos sobre a produção"
"statistical_class_F2040","F2040","Subsídios aos produtos"
"statistical_class_F2050","F2050","Subsídios à produção"
"statistical_class_F2060","F2060","Impostos sobre heranças e doações"
"statistical_class_F2070","F2070","Contribuições sociais para sistemas de segurança social"
"statistical_class_F2080","F2080","Prestações sociais"
"statistical_class_F2090","F2090","Cooperação internacional"
"statistical_class_F2110","F2110","Perdão de dívida"
"statistical_class_F2120","F2120","Ajudas ao investimento"
"statistical_class_F2130","F2130","Transferências de capital"
"statistical_class_F2190","F2190","Outras transferências n.i.n.r."
"statistical_class_F3010","F3010","Rendimentos do trabalho"
"statistical_class_F3020","F3020","Remessas de emigrantes/imigrantes"
"statistical_class_G0004","G0004","Rendimentos de investimento imobiliário"
"statistical_class_G1001","G1001","Investimento imobiliário de Portugal no exterior"
"statistical_class_G2001","G2001","Investimento imobiliário do exterior em Portugal"
