"id","name","code_prefix_start","code_prefix_end"
"pt_ag_247","Fundo Compensação dp Trabalhador","247","247"
"pt_ag_25","Financiamentos Obtidos","25","25"
"pt_ag_251","Instituições de crédito e sociedades financeiras","251","251"
"pt_ag_2511","Empréstimos bancários","2511","2511"
"pt_ag_2512","Descobertos bancários","2512","2512"
"pt_ag_2513","Locações Financeiras","2513","2513"
"pt_ag_252","Mercado de valores mobiliários","252","252"
"pt_ag_2521","Empréstimos por obrigações","2521","2521"
"pt_ag_253","Participantes de capital","253","253"
"pt_ag_2531","Empresa-mãe - Suprimentos e outros mútuos","2531","2531"
"pt_ag_2532","Outros participantes - Suprimentos e outros mútuos","2532","2532"
"pt_ag_254","Subsidiárias, associadas e empreendimentos conjuntos","254","254"
"pt_ag_258","Outros financiadores","258","258"
"pt_ag_26","Acionistas / Sócios","26","26"
"pt_ag_266","Empréstimos concedidos - empresa-mãe","266","266"
"pt_ag_268","Outras operações","268","268"
"pt_ag_269","Perdas por imparidade acumuladas","269","269"
"pt_ag_2691","PIA - Aceite Fiscalmente","2691","2691"
"pt_ag_26916","PIA - Empréstimos Concedidos - Empresa-Mãe","26916","26916"
"pt_ag_26917","PIA - Outras Operações","26917","26917"
"pt_ag_2692","PIA - Não Aceite Fiscalmente","2692","2692"
"pt_ag_26926","PIA - Empréstimos Concedidos - Empresa-Mãe","26926","26926"
"pt_ag_26927","PIA - Outras Operações","26927","26927"
"pt_ag_27","Outras Contas a Receber e a Pagar","27","27"
"pt_ag_271","Fornecedores de investimentos","271","271"
"pt_ag_2711","Fornecedores de investimentos - contas gerais","2711","2711"
"pt_ag_2712","Faturas em recepção e conferência","2712","2712"
"pt_ag_2713","Adiantamentos a fornecedores de investimentos","2713","2713"
"pt_ag_272","Devedores e credores por acréscimos (periodização económica)","272","272"
"pt_ag_274","Impostos diferidos","274","274"
"pt_ag_275","Credores por subscrições não liberadas","275","275"
"pt_ag_278","Outros devedores e credores","278","278"
"pt_ag_279","Perdas por imparidade acumuladas","279","279"
"pt_ag_2791","Aceite Fiscalmente","2791","2791"
"pt_ag_27911","Fornecedores de Investimento","27911","27911"
"pt_ag_27914","Outros Devedores e Credores","27914","27914"
"pt_ag_2792","Não Aceite Fiscalmente","2792","2792"
"pt_ag_27921","Fornecedores de Investimento","27921","27921"
"pt_ag_27924","Outros Devedores e Credores","27924","27924"
"pt_ag_29","Provisões","29","29"
"pt_ag_3","Inventários e Ativos Biológicos","3","3"
"pt_ag_31","Compras","31","31"
"pt_ag_311","Mercadorias","311","311"
"pt_ag_312","Matérias-primas, subsidiárias e de consumo","312","312"
"pt_ag_313","Activos biológicos","313","313"
"pt_ag_317","Devoluções de compras","317","317"
"pt_ag_3171","Mercadorias","3171","3171"
"pt_ag_3172","Matérias primas, subsidiárias e de consumo","3172","3172"
"pt_ag_3173","Ativos biológicos","3173","3173"
"pt_ag_318","Descontos e abatimentos em compras","318","318"
"pt_ag_3181","Mercadorias","3181","3181"
"pt_ag_3182","Matérias-primas, subsidiárias e de consumo","3182","3182"
"pt_ag_3183","Ativos biológicos","3183","3183"
"pt_ag_32","Mercadorias","32","32"
"pt_ag_329","Perdas por imparidade acumuladas","329","329"
"pt_ag_3291","Aceite Fiscalmente","3291","3291"
"pt_ag_3292","Não Aceite Fiscalmente","3292","3292"
"pt_ag_33","Matérias-Primas, Subsidiárias e de Consumo","33","33"
"pt_ag_339","Perdas por imparidade acumuladas","339","339"
"pt_ag_3391","Aceite Fiscalmente","3391","3391"
"pt_ag_3392","Não Aceite Fiscalmente","3392","3392"
"pt_ag_34","Produtos Acabados e Intermédios","34","34"
"pt_ag_349","Perdas por Imparidade Acumuladas","349","349"
"pt_ag_3491","Aceite Fiscalmente","3491","3491"
"pt_ag_3492","Não Aceite Fiscalmente","3492","3492"
"pt_ag_35","Subprodutos, Desperdícios, Resíduos e Refugos","35","35"
"pt_ag_359","Perdas por imparidade acumuladas","359","359"
"pt_ag_3591","Aceite Fiscalmente","3591","3591"
"pt_ag_3592","Não Aceite Fiscalmente","3592","3592"
"pt_ag_36","Produtos e Trabalhos em Curso","36","36"
"pt_ag_37","Ativos Biológicos","37","37"
"pt_ag_371","Consumíveis","371","371"
"pt_ag_372","De produção","372","372"
"pt_ag_378","Depreciações acumuladas","378","378"
"pt_ag_379","Perdas por imparidade acumuladas","379","379"
"pt_ag_38","Reclassificação e Regularização de Inventários e Ativos Biológicos","38","38"
"pt_ag_39","Adiantamentos por Conta de Compras","39","39"
"pt_ag_396","Ativos Biológicos","396","396"
"pt_ag_4","Investimentos","4","4"
"pt_ag_41","Investimentos Financeiros","41","41"
"pt_ag_411","Investimentos em subsidiárias","411","411"
"pt_ag_4111","Participações de capital - método da equivalência patrimonial","4111","4111"
"pt_ag_412","Investimentos em associadas","412","412"
"pt_ag_4121","Participações de capital - método da equivalência patrimonial","4121","4121"
"pt_ag_413","Investimentos em Entidades Conjuntamente Controladas","413","413"
"pt_ag_4131","Participações de Capital - Método da Equivalência Patrimonial","4131","4131"
"pt_ag_414","Investimentos Noutras Empresas","414","414"
"pt_ag_415","Outros investimentos financeiros","415","415"
"pt_ag_418","Amortizações Acumuladas","418","418"
"pt_ag_4181","Investimentos em Subsidiárias","4181","4181"
"pt_ag_4182","Investimentos em Associadas","4182","4182"
"pt_ag_4183","Investimentos em Entidades Conjuntamente Controladas","4183","4183"
"pt_ag_419","Perdas por imparidade acumuladas","419","419"
"pt_ag_4191","Aceite Fiscalmente","4191","4191"
"pt_ag_41911","Investimentos em Subsidiárias","41911","41911"
"pt_ag_41912","Investimentos em Associadas","41912","41912"
"pt_ag_41913","Investimentos em Entidades Conjuntamente Controladas","41913","41913"
"pt_ag_41914","Investimentos Noutras Empresas","41914","41914"
"pt_ag_41915","Outros Investimentos Financeiros","41915","41915"
"pt_ag_4192","Não Aceite Fiscalmente","4192","4192"
"pt_ag_41921","Investimentos em Subsidiárias","41921","41921"
"pt_ag_41922","Investimentos em Associadas","41922","41922"
"pt_ag_41923","Investimentos em Entidades Conjuntamente Controladas","41923","41923"
"pt_ag_41924","Investimentos Noutras Empresas","41924","41924"
"pt_ag_41925","Outros Investimentos Financeiros","41925","41925"
"pt_ag_42","Propriedades de investimento","42","42"
"pt_ag_421","Terrenos e recursos naturais","421","421"
"pt_ag_422","Edifícios e outras construções","422","422"
